900	15													
ID	grass_fraction	grass_pattern	tree_fraction	tree_pattern	building_fraction	building_pattern	pavement_fraction	pavement_pattern	soil_fraction	soil_pattern	sdtemp	sntemp	wdtemp	wntemp
1	0.415086505	-0.163299344	0.133148789	-0.630202163	0.218685121	-0.575514153	0.109204152	-0.756394331	0.1216609	-0.738286576	56.3500061	30.37778473	30.76667213	3.738894939
2	0.444429066	-0.098361113	0.213979239	-0.429521208	0.221176471	-0.567186602	0.02532872	-0.863679962	0.093979239	-0.791911341	55.65556335	30.01667213	30.18333817	3.905561447
3	0.515155709	0.099777536	0.365951557	0.023988817	0.051349481	-0.829283234	0.04	-0.916904245	0.017716263	-0.939682888	44.07222748	27.79445076	25.18333817	4.100006104
4	0.444844291	-0.116745279	0.140484429	-0.570354084	0.215224913	-0.579025709	0.070449827	-0.806660618	0.127474048	-0.736348175	55.68334198	29.71111679	30.32222748	4.211117268
5	0.404844291	-0.193497857	0.141453287	-0.581793029	0.22532872	-0.538552057	0.09799308	-0.765567224	0.12982699	-0.734448229	56.12778473	29.8500061	30.40556145	4.433339119
6	0.595986159	0.166608511	0.319723183	-0.002867528	0.036678201	-0.876067858	0.019100346	-0.925271238	0.02615917	-0.93438856	43.15556335	26.43333817	25.1000061	4.461117268
7	0.348927336	-0.227575981	0.151557093	-0.555886292	0.237923875	-0.521847417	0.146297578	-0.726471784	0.113356401	-0.791394301	56.04444885	30.8500061	30.87778473	4.516672611
8	0.406089965	-0.131119264	0.323321799	-0.104016468	0.09633218	-0.716210544	0.129273356	-0.706119087	0.043737024	-0.879465739	48.82222748	28.40556145	26.51667213	4.572228432
9	0.085536332	-0.776684978	0.057854671	-0.839267623	0.382283737	-0.166891982	0.383944637	-0.27837274	0.090380623	-0.771651247	60.07222748	30.29445076	27.8500061	4.627783775
10	0.444013841	-0.061712752	0.220207612	-0.351971345	0.207197232	-0.642261796	0.080138408	-0.784159308	0.04	-0.901010342	50.46112061	29.43334007	26.48889542	4.766672611
11	0.400276817	-0.247905262	0.14200692	-0.525082924	0.222975779	-0.546311493	0.103806228	-0.7503433	0.128442907	-0.712370054	55.73889542	30.65556145	29.79445076	4.766673088
12	0.431695502	-0.156420619	0.115294118	-0.684201118	0.20982699	-0.60314352	0.096470588	-0.767318726	0.145605536	-0.690864638	55.82222748	29.96111679	30.76667213	4.877783775
13	0.412041522	-0.228383056	0.186712803	-0.476909559	0.206782007	-0.544974614	0.103391003	-0.74373574	0.087612457	-0.803193085	55.3500061	30.90556335	30.54445076	5.377783775
14	0.665190311	0.438026871	0.167474048	-0.454744049	0.106020761	-0.725627848	0.035709343	-0.88158228	0.022698962	-0.931450217	48.15556335	27.87778473	26.26667213	5.54445076
15	0.347266436	-0.26710587	0.110034602	-0.603471569	0.221453287	-0.565897312	0.139792388	-0.719445632	0.181453287	-0.646877682	56.87778473	30.96111679	30.98889542	5.54445076
16	0.470034602	-0.093537627	0.111695502	-0.663755123	0.224083045	-0.615525139	0.08	-0.849945587	0.111141869	-0.765257305	55.32222748	30.3500061	30.71111679	5.655561447
17	0.333979239	-0.306679157	0.145051903	-0.643107969	0.217716263	-0.528497455	0.174394464	-0.666130315	0.12816609	-0.708254243	57.01667023	31.40556145	31.04445076	5.738894939
18	0.185467128	-0.534582549	0.151280277	-0.616944616	0.144913495	-0.638092788	0.281799308	-0.442753853	0.207612457	-0.567867135	56.79444885	31.6000061	30.12778473	5.822228432
19	0.448581315	-0.093317845	0.089965398	-0.709330465	0.214809689	-0.545468296	0.11432526	-0.774369267	0.129134948	-0.741580933	56.15556335	29.82222748	30.40556145	5.961117268
20	0.475709343	-0.122898854	0.10615917	-0.659132027	0.210242215	-0.580409601	0.083737024	-0.798573625	0.121937716	-0.634625254	55.29444885	30.29445076	30.51667213	5.988894939
21	0.002214533	-0.990563725	0.018685121	-0.931837845	0.418823529	-0.199495958	0.500069204	0.038265903	0.060207612	-0.824004006	52.43334198	30.8500061	26.15556145	6.04445076
22	0.305743945	-0.360627583	0.132733564	-0.650517792	0.237508651	-0.530863653	0.158062284	-0.687367754	0.163460208	-0.662397423	56.79444885	32.01667404	30.79445076	6.183339119
23	0.324705882	-0.391924152	0.108373702	-0.64812991	0.235709343	-0.535661113	0.169411765	-0.493695669	0.16	-0.672866185	57.26667023	30.54445076	30.68333817	6.183339596
24	0.018546713	-0.92884736	0.017024221	-0.850628772	0.247058824	-0.477617899	0.522491349	-0.056058393	0.161107266	-0.631151215	51.26667404	30.32222748	25.98889542	6.238894939
25	0.803183391	0.627367956	0.137301038	-0.518141587	0.03017301	-0.840091591	0.023252595	-0.92711794	0.005397924	-0.950541471	45.29444885	26.26667213	25.79445076	6.29445076
26	0.739792388	0.52634463	0.140069204	-0.604980922	0.042352941	-0.751066077	0.036262976	-0.872239904	0.041522491	-0.861438276	47.32222748	26.26667404	26.48889542	6.29445076
